epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,16723.9,0.81757,0.41597,0.89793,0.99502,0.97976,0.993,0.82719,0.75003,0.31549,0.91411,0.000112434,0.000112434,0.000112434
120,16865.3,0.8171,0.41488,0.89981,0.99453,0.98221,0.9927,0.828,0.74734,0.31971,0.91547,0.000111231,0.000111231,0.000111231
121,17005,0.82062,0.4127,0.90075,0.99437,0.98221,0.99298,0.82892,0.75256,0.3176,0.91657,0.000110028,0.000110028,0.000110028
122,17144.5,0.82308,0.42469,0.90411,0.99475,0.98344,0.99258,0.82531,0.75764,0.31709,0.91635,0.000108823,0.000108823,0.000108823
123,17284.3,0.82038,0.4194,0.90003,0.99374,0.98341,0.99246,0.82642,0.75518,0.31487,0.91661,0.000107618,0.000107618,0.000107618
124,17425.2,0.81866,0.41901,0.89907,0.99215,0.98192,0.99288,0.82978,0.74957,0.3144,0.91329,0.000106412,0.000106412,0.000106412
125,17566.3,0.80737,0.40931,0.89559,0.99223,0.98204,0.99293,0.82668,0.74868,0.31288,0.91324,0.000105206,0.000105206,0.000105206
126,17708,0.80199,0.40565,0.89171,0.99147,0.98297,0.99307,0.82574,0.74692,0.30929,0.91428,0.000104,0.000104,0.000104
127,17849.4,0.81128,0.41549,0.8944,0.99252,0.98221,0.99333,0.82662,0.75035,0.31078,0.9175,0.000102794,0.000102794,0.000102794
128,17989.4,0.79559,0.40908,0.89849,0.99121,0.98371,0.99284,0.82533,0.7506,0.3115,0.91875,0.000101588,0.000101588,0.000101588
129,18129.6,0.81743,0.41733,0.89985,0.99139,0.98221,0.99254,0.82817,0.74707,0.31113,0.91892,0.000100382,0.000100382,0.000100382
130,18269.9,0.79814,0.403,0.89327,0.99302,0.98455,0.9926,0.82475,0.74938,0.31064,0.91696,9.91765e-05,9.91765e-05,9.91765e-05
131,18410.6,0.80916,0.40434,0.89228,0.99287,0.98133,0.99254,0.83072,0.74988,0.31093,0.91574,9.79721e-05,9.79721e-05,9.79721e-05
132,18550.6,0.78718,0.40583,0.89229,0.9905,0.9861,0.99277,0.82854,0.74744,0.30954,0.91653,9.67686e-05,9.67686e-05,9.67686e-05
133,18689.8,0.78682,0.39413,0.88481,0.99124,0.9865,0.99297,0.83206,0.7467,0.30991,0.91542,9.55663e-05,9.55663e-05,9.55663e-05
134,18830.3,0.78926,0.39967,0.89221,0.99149,0.98356,0.99286,0.8322,0.74004,0.30889,0.9113,9.43653e-05,9.43653e-05,9.43653e-05
135,18971.9,0.78799,0.40341,0.89302,0.99242,0.98502,0.99291,0.83388,0.73468,0.30913,0.90995,9.31658e-05,9.31658e-05,9.31658e-05
136,19112.6,0.78624,0.39109,0.88767,0.99308,0.98344,0.99285,0.83304,0.7349,0.30826,0.91094,9.1968e-05,9.1968e-05,9.1968e-05
137,19252.6,0.7821,0.39698,0.88879,0.99581,0.98098,0.99272,0.83153,0.73686,0.30611,0.91301,9.07721e-05,9.07721e-05,9.07721e-05
138,19393.9,0.79199,0.409,0.8892,0.99579,0.98184,0.99324,0.83341,0.74005,0.30867,0.91365,8.95783e-05,8.95783e-05,8.95783e-05
139,19533.7,0.78766,0.39847,0.88272,0.99559,0.9842,0.99326,0.83183,0.7348,0.30769,0.91014,8.83868e-05,8.83868e-05,8.83868e-05
140,19674.3,0.78411,0.4002,0.88647,0.99612,0.98296,0.99292,0.83057,0.72873,0.3049,0.90667,8.71978e-05,8.71978e-05,8.71978e-05
141,19814.7,0.77748,0.38945,0.88315,0.99367,0.9862,0.99282,0.83155,0.73159,0.30437,0.9059,8.60114e-05,8.60114e-05,8.60114e-05
142,19954.9,0.7836,0.3988,0.88588,0.99576,0.98291,0.99249,0.83316,0.72398,0.30701,0.9029,8.48278e-05,8.48278e-05,8.48278e-05
143,20095.4,0.76732,0.38786,0.88333,0.9959,0.98118,0.99258,0.83495,0.72318,0.30799,0.9016,8.36473e-05,8.36473e-05,8.36473e-05
144,20236.8,0.77775,0.38971,0.88519,0.99411,0.98269,0.99274,0.83503,0.72427,0.30658,0.90223,8.247e-05,8.247e-05,8.247e-05
145,20378.2,0.76974,0.38997,0.88697,0.99532,0.98046,0.99282,0.83842,0.7212,0.30622,0.90117,8.12961e-05,8.12961e-05,8.12961e-05
146,20520.4,0.77029,0.39401,0.88617,0.99512,0.98109,0.99277,0.83884,0.71766,0.30648,0.90084,8.01258e-05,8.01258e-05,8.01258e-05
147,20660.6,0.76891,0.39275,0.88172,0.99527,0.97768,0.99254,0.83766,0.71799,0.3061,0.90134,7.89592e-05,7.89592e-05,7.89592e-05
148,20800.4,0.77171,0.38957,0.88399,0.99554,0.97763,0.99248,0.83822,0.7182,0.30621,0.9023,7.77966e-05,7.77966e-05,7.77966e-05
149,20940.5,0.76844,0.38885,0.88944,0.9884,0.98564,0.99255,0.83831,0.71754,0.30352,0.90304,7.66382e-05,7.66382e-05,7.66382e-05
150,21081.3,0.76774,0.38756,0.88348,0.98837,0.98482,0.99261,0.84018,0.71401,0.30264,0.90345,7.5484e-05,7.5484e-05,7.5484e-05
151,21221.9,0.76752,0.38902,0.88651,0.992,0.9843,0.99262,0.84185,0.71381,0.30298,0.90453,7.43344e-05,7.43344e-05,7.43344e-05
152,21360.5,0.76465,0.38608,0.88187,0.99151,0.98463,0.99272,0.84122,0.71319,0.30525,0.90431,7.31894e-05,7.31894e-05,7.31894e-05
153,21500.8,0.7645,0.38807,0.88434,0.99121,0.98475,0.99284,0.84005,0.71056,0.30656,0.90397,7.20493e-05,7.20493e-05,7.20493e-05
154,21641.4,0.76039,0.38968,0.88132,0.9962,0.97841,0.99308,0.83875,0.70933,0.30608,0.90384,7.09143e-05,7.09143e-05,7.09143e-05
155,21781.7,0.75225,0.3839,0.87532,0.99626,0.97771,0.99329,0.8402,0.7096,0.30678,0.90212,6.97845e-05,6.97845e-05,6.97845e-05
156,21921.9,0.75127,0.37932,0.87733,0.9962,0.97763,0.99334,0.84142,0.7117,0.30603,0.90312,6.866e-05,6.866e-05,6.866e-05
157,22062,0.75407,0.37576,0.87994,0.98861,0.98516,0.99334,0.84116,0.71014,0.30629,0.90144,6.75412e-05,6.75412e-05,6.75412e-05
158,22204.4,0.75671,0.38485,0.87889,0.98861,0.98538,0.99335,0.84189,0.70715,0.3056,0.89918,6.64281e-05,6.64281e-05,6.64281e-05
159,22344.6,0.75431,0.38641,0.87082,0.98842,0.98566,0.99323,0.84111,0.70741,0.30667,0.89676,6.5321e-05,6.5321e-05,6.5321e-05
160,22484.8,0.73858,0.36979,0.87275,0.99626,0.97847,0.99327,0.8421,0.70837,0.30602,0.89602,6.42199e-05,6.42199e-05,6.42199e-05
161,22625.8,0.74451,0.37703,0.87427,0.99626,0.97867,0.99319,0.84206,0.70981,0.30609,0.89542,6.31252e-05,6.31252e-05,6.31252e-05
162,22765.7,0.75538,0.37856,0.87922,0.99627,0.97875,0.99321,0.84161,0.70898,0.30439,0.89486,6.20369e-05,6.20369e-05,6.20369e-05
163,22905.8,0.75007,0.3835,0.87756,0.99627,0.97909,0.99319,0.84265,0.70931,0.30332,0.89518,6.09552e-05,6.09552e-05,6.09552e-05
164,23046,0.73393,0.36982,0.87343,0.99751,0.98038,0.99316,0.84506,0.70976,0.30261,0.89557,5.98803e-05,5.98803e-05,5.98803e-05
165,23186.2,0.74687,0.37977,0.87712,0.99751,0.98033,0.99307,0.84497,0.70843,0.30264,0.89586,5.88124e-05,5.88124e-05,5.88124e-05
166,23326.7,0.73565,0.37703,0.88002,0.99751,0.98054,0.99303,0.84437,0.70565,0.30169,0.89576,5.77516e-05,5.77516e-05,5.77516e-05
167,23467.2,0.73695,0.36936,0.87797,0.9933,0.98689,0.99308,0.84533,0.70511,0.30092,0.89594,5.66982e-05,5.66982e-05,5.66982e-05
168,23607.6,0.73601,0.36875,0.87592,0.99311,0.98727,0.99304,0.8452,0.7028,0.30281,0.896,5.56522e-05,5.56522e-05,5.56522e-05
169,23748.4,0.73503,0.37098,0.87601,0.99303,0.98727,0.99295,0.84392,0.70333,0.30009,0.89726,5.46138e-05,5.46138e-05,5.46138e-05
170,23889.1,0.74271,0.37806,0.87716,0.99258,0.98615,0.99291,0.84434,0.7012,0.30002,0.89709,5.35832e-05,5.35832e-05,5.35832e-05
171,24030,0.73427,0.36397,0.87315,0.99225,0.98649,0.99285,0.84339,0.70253,0.29908,0.89769,5.25606e-05,5.25606e-05,5.25606e-05
172,24170.2,0.7347,0.3713,0.87382,0.99241,0.98598,0.99288,0.84421,0.70154,0.29947,0.89654,5.15461e-05,5.15461e-05,5.15461e-05
173,24311.3,0.73464,0.36927,0.87533,0.9971,0.98066,0.99288,0.84437,0.70043,0.29856,0.89606,5.05399e-05,5.05399e-05,5.05399e-05
174,24451.4,0.7244,0.36997,0.8724,0.99707,0.98061,0.99285,0.84468,0.70081,0.2989,0.89657,4.95422e-05,4.95422e-05,4.95422e-05
175,24591.3,0.73732,0.37274,0.87677,0.99708,0.98059,0.99282,0.84432,0.69949,0.29779,0.89618,4.8553e-05,4.8553e-05,4.8553e-05
